Car_Price,Down_Payment,Interest_Rate,Loan_Term_Months,Extra_Payment,Credit_Score,Total_Interest
54326.71247897306,8062.5665568545455,5.580489541238501,72,0,732,8283.211583734786
114825.0021730412,19331.81276278507,14.642800278698186,60,0,585,39741.45794110444
91859.36389019754,24217.513182904575,12.83945400880776,72,0,586,29711.134488004303
77859.14084068884,10511.069387206713,15.97552095606763,36,0,563,17861.93155430902
31381.957246455837,8391.92516936513,7.791762647566597,36,0,672,2865.80066430641
31379.42463530128,2260.3731654171274,15.205952248443786,36,50,632,6879.510326310133
21098.779277660942,5152.3136563572625,6.459966131057984,60,100,708,1985.3718722622546
105948.49530636819,27746.52387097421,9.981450586511631,36,0,651,12614.388228768981
78117.07623303693,7456.619673453406,14.994200051935795,36,0,632,17513.164427896078
89347.62066858477,14079.990716037288,15.537956007491426,72,0,593,40912.01734791888
17161.371901059258,1568.1193906890876,12.138175062073564,60,150,617,3252.7976622964306
116840.53447700941,26482.027747686996,15.723896444041017,48,100,597,30190.343820849714
102406.47728404429,18826.09362646968,11.334168281966912,36,0,606,15403.779102431034
37295.606621219,7788.472735088417,10.950828276764199,72,0,624,10877.540444493181
34091.621556745566,3379.220907413259,12.87388534554792,48,300,571,5843.559234403751
34257.47353461055,3526.343243061542,9.984968905925527,36,0,681,4958.919715359536
46945.43551075146,2834.2992801860655,4.446842261266891,48,50,816,3907.076053619433
70099.42532138497,9149.158549043146,5.158573355061028,48,0,836,6634.8844913184785
60354.22695742216,11463.450429955612,9.689060417382915,60,50,669,12188.090609028037
45579.0597207944,12054.919656449436,3.9188567722778673,60,300,795,2236.7314107795564
79244.55394584985,17174.819719319337,15.718848936947051,36,500,605,12416.112784060166
29646.855368464392,4709.375725371615,10.83429642746172,36,100,587,3820.019652311063
45675.188096197904,13167.244530615373,5.296559415087589,60,0,794,4565.549441314541
53467.99354583763,12287.549112857698,12.174438969447056,36,0,570,8183.243195786046
62887.34834278877,17768.273199328927,9.000444249493198,36,0,659,6533.143681070183
97443.47594626642,17724.675293084754,12.82293529985404,60,500,643,20312.698382988474
35965.74712662777,4126.208775634641,8.015503670750748,48,100,685,4744.8054061705
68994.61603342922,4360.920037184557,4.216293732803386,36,0,780,4287.202350698966
77203.52973051445,17874.254841128128,11.561139399610374,72,0,557,23211.76379572324
19877.29333559976,1596.6584852409067,3.9077729509210477,60,50,839,1606.6293395035989
78792.20944965103,9903.69080322,3.8741136720527605,36,500,800,3335.2119848986804
32905.032987165614,6025.494846514697,13.189595591906269,36,50,636,5436.045084918522
21830.41726345435,4171.883268584468,5.0958627350226315,60,0,753,2382.331272372171
114632.98141159999,22943.309684666412,4.637940067522482,72,0,768,13524.398697434983
116391.36347282873,10657.239319648243,5.286413177101684,72,0,790,17884.3939988167
99881.72155222842,14476.292510451864,4.773088977153448,60,200,807,9414.528837732943
46984.44576320393,9598.854460495118,9.568020346897814,72,500,658,5853.133102510749
25255.571970670306,7386.111132101594,4.835214459454006,36,200,805,976.2151680876993
86844.46778377648,20139.908113297133,4.398918386367482,72,100,831,8379.249024518373
61216.01184265814,17180.33122221906,4.878677644400166,36,50,769,3258.5398559352507
27814.014658701777,6690.745073682533,10.883392605579287,48,50,632,4487.130303137651
66993.57556168336,13259.987644739986,10.07955441574699,72,50,656,16851.925854970785
18610.79471709793,1823.9666118254033,14.777966788941544,48,100,618,4238.764914621221
110478.64221827211,23937.56351278572,11.848764770274233,60,0,646,28565.99371847186
42171.89806800178,8680.869781734185,5.036064908508164,72,100,761,4403.8130232054145
84564.8398571681,16965.169222508317,3.525285202800037,36,0,835,3736.772028688764
47729.66298938815,8230.811753480328,3.9344931449617606,72,0,786,4909.9228552517225
69607.14222367013,12679.925966524499,10.858254812689928,60,150,557,14601.574903421471
72404.57933104437,9674.02158815165,5.06045383323579,60,200,843,7027.05762569178
34409.717830180336,6187.836696372223,7.011748302356774,36,50,738,2964.573842659337
116806.38591527865,11609.267135394612,14.97499813091007,72,0,630,54856.461915300155
96388.94645291702,24221.925290753126,7.513445079976586,48,200,657,10215.386657193492
113647.38886423985,10960.635896376572,13.256779996731243,60,100,616,35977.4721443828
108956.87179490313,7762.258878338948,6.909672395034673,60,0,723,18773.277870930484
77779.49777516394,12371.724097875856,11.354706208064584,36,50,592,11744.876195807547
111796.79467742727,23989.005146141884,6.799581455025249,72,0,736,19371.37089601774
24291.712715451547,3872.808476273874,5.668220198619371,48,0,749,2450.1543928098813
35578.20055401025,4240.51353037918,11.497292208573722,72,150,588,8811.70477981823
19748.865335606497,3743.255152997416,4.451593629989202,72,0,769,2262.0486112713716
49159.684730142755,6722.615588878889,14.094608339746062,48,0,553,13323.118522702725
55811.11541739561,15806.65235157397,7.937607380861689,36,0,670,5083.497447831979
43491.648336259066,12206.421904512257,11.518728319570158,60,0,626,10015.046675476422
102017.43846095259,17913.54348017763,5.908892734131326,36,0,728,7880.892707257383
52459.09930282687,6923.079715644172,8.216102414096936,36,0,682,5997.163188866735
44498.12351717498,10425.15847704772,3.9531076970525825,72,0,778,4256.241504155622
71983.0887316161,4259.832203665903,4.290298216995273,48,0,825,6097.881409902507
29797.04362235008,5026.53037702312,6.807579301673446,60,0,701,4523.898331818713
99230.68297917416,13304.934177788526,6.3760635662689396,72,0,713,17706.7886667961
22827.817586375935,6394.8471960273555,5.0519478174997765,60,50,839,1851.3927648060221
118623.12834305431,6287.115578320867,9.657805517845844,72,50,658,34887.553243126116
96085.70077614902,18083.686222026776,7.879580742147227,48,0,675,13190.839810976291
35865.1465610881,8434.25929990813,3.5976832466414876,60,50,789,2324.898190983167
15579.822297978251,2668.1146291358114,10.133824691998818,60,500,695,1062.116971767717
100623.44998775759,7179.559382983273,3.659662133125747,36,200,801,4987.126196126047
89220.0211039998,26151.75749047859,5.796678361439426,72,0,732,11752.75513690659
91545.75264430366,16432.701336696507,10.62173301556965,72,100,621,24211.034151537708
95983.3864020243,19537.088222921157,4.756672730597307,72,0,768,11577.489328634572
22774.68843207949,2485.9129418903517,4.664741126316697,36,0,756,1492.07296424163
52638.901497148625,8994.647093856687,7.4738073328705115,36,0,722,5210.724331830956
27166.25125013862,4272.908293109209,10.160797188951516,60,0,690,6400.406266026592
105625.85971693732,7259.027411017725,4.32168635496182,72,50,821,12990.576581550624
80446.30331689358,6157.367166271732,4.2431716818250695,72,100,763,9082.8919464735
49744.292609528165,12902.084147565194,4.09370406855997,60,100,818,3399.8909169209855
21673.626780032482,2383.12337363434,11.338238060208347,60,0,569,6070.511492403634
47653.14378014453,4705.2508247204005,11.25946011131105,60,0,615,13413.593415974485
49144.24881280844,8660.585937808683,7.896851124028816,48,0,696,6861.883012379397
91608.64872549672,22186.40391520527,5.728229514373557,48,0,714,8421.631134345607
81943.53449229737,5366.205895078628,11.822816233230453,60,500,555,17700.442674134367
108157.33797051429,21004.369175621734,12.18667746672214,36,100,563,16630.334453832205
64582.56714200468,5153.857464295094,10.384736913116747,36,300,681,8431.90807215649
27557.395823521678,1629.0626936118615,4.6569465020037715,72,100,792,2986.6008013189758
89890.70265841448,5679.832863131604,5.475191549026562,48,0,780,9748.94071466312
94882.43010477423,24531.000928488404,4.2449338956513465,48,0,777,6265.749257741612
73934.1057447971,5877.252807123217,6.415253265178882,60,0,711,11677.783389974617
95951.5538952289,5880.6635887237335,4.149157318330558,60,0,832,9820.841223127132
66848.53761826103,10660.66865058936,3.8657753017931054,60,150,812,4900.34630762361
69886.94708510938,18240.379132702976,7.929494123332738,60,0,680,11081.292086464893
59891.80692764771,6923.618301606076,5.390158395615664,60,0,774,7576.05266690065
17669.008308129996,2746.261351083666,5.473621363597512,36,100,807,1042.9122624585016
26328.59983429697,1579.2060877755225,3.589818993017463,36,150,783,1147.5510193516748
18300.064497107098,2969.544668088667,11.326902311024716,60,0,573,4819.124707958526
81823.09318269695,15906.676889264058,4.347048184602045,36,100,820,4279.227918084692
48007.3780130143,9252.306585594586,11.52483411989424,60,0,644,12413.427970660985
68399.92257229378,9104.48613003727,8.59164118088065,60,50,691,13148.799563326487
110294.47976223976,14215.115990353326,5.758192699719267,48,0,731,11718.573454568737
41175.68406063187,3156.3593147152337,4.41302351344358,36,0,755,2641.9816009968567
58090.206918741125,8231.357931884177,11.994320388930927,36,50,630,9404.038075496457
94332.8695470201,7063.04788220534,4.203810111517321,48,0,823,7695.262337397661
39023.80737662036,9430.06348936637,3.6886253029254954,36,100,825,1529.4774417393855
23082.890532023266,6730.245486308421,4.356256101420284,48,150,757,1038.986449608865
45423.90255594564,13287.337025707384,5.46651522192314,72,0,845,5630.326319027766
31928.235161670465,8501.460131189117,12.308581757846547,36,100,588,4065.8332807650013
